state_name,year,details,male,female,total
SIKKIM,2004,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",0,0,0
SIKKIM,2004,Total Convicts Released,53,1,54
SIKKIM,2004,Under trials Released - Acquitted,7,0,7
SIKKIM,2004,Under trials Released - Released on appeal,0,0,0
SIKKIM,2004,Under trials Released - Released on bail,87,3,90
SIKKIM,2004,Under trials Released - Transferred to other States,0,0,0
SIKKIM,2004,Under trials Released - Extradited,0,0,0
SIKKIM,2004,Under trials Released - Other releases (transferred to Mental/Civil hospital),0,0,0
SIKKIM,2004,Total Under trials Released,94,3,97
SIKKIM,2004,Detenus Released - Released on completion of detention period,0,0,0
SIKKIM,2004,Detenus Released - Released before completion of detention period,0,0,0
SIKKIM,2004,Detenus Released - Released on bail,0,0,0
SIKKIM,2004,Detenus Released - Other releases (temporary transfer etc.),0,0,0
SIKKIM,2004,Total Detenus Released,0,0,0
