STATE/UT,YEAR,DETAILS,Male,Female,Total
MAHARASHTRA,2007,Parole released - Number of persons released on parole,992,24,1016
MAHARASHTRA,2007,Parole released - Number of parole absconders,108,0,108
MAHARASHTRA,2007,Parole released - Number of parole absconders rearrested,33,0,33
MAHARASHTRA,2008,Parole released - Number of persons released on parole,1094,39,1133
MAHARASHTRA,2008,Parole released - Number of parole absconders,181,0,181
MAHARASHTRA,2008,Parole released - Number of parole absconders rearrested,45,0,45
MAHARASHTRA,2009,Parole released - Number of persons released on parole,1212,43,1255
MAHARASHTRA,2009,Parole released - Number of parole absconders,186,2,188
MAHARASHTRA,2009,Parole released - Number of parole absconders rearrested,68,0,68
MAHARASHTRA,2010,Parole released - Number of persons released on parole,1466,60,1526
MAHARASHTRA,2010,Parole released - Number of parole absconders,513,1,514
MAHARASHTRA,2010,Parole released - Number of parole absconders rearrested,86,0,86
MAHARASHTRA,2011,Parole released - Number of persons released on parole,1657,49,1706
MAHARASHTRA,2011,Parole released - Number of parole absconders,330,3,333
MAHARASHTRA,2011,Parole released - Number of parole absconders rearrested,191,0,191
MAHARASHTRA,2012,Parole released - Number of persons released on parole,2725,154,2879
MAHARASHTRA,2012,Parole released - Number of parole absconders,197,1,198
MAHARASHTRA,2012,Parole released - Number of parole absconders rearrested,41,0,41
MANIPUR,2001,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2001,Parole released - Number of parole absconders,0,0,0
MANIPUR,2001,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2002,Parole released - Number of persons released on parole,3,0,3
MANIPUR,2002,Parole released - Number of parole absconders,2,0,2
MANIPUR,2002,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2003,Parole released - Number of persons released on parole,3,0,3
MANIPUR,2003,Parole released - Number of parole absconders,0,0,0
MANIPUR,2003,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2004,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2004,Parole released - Number of parole absconders,0,0,0
MANIPUR,2004,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2005,Parole released - Number of persons released on parole,1,0,1
MANIPUR,2005,Parole released - Number of parole absconders,0,0,0
MANIPUR,2005,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2006,Parole released - Number of persons released on parole,2,0,2
MANIPUR,2006,Parole released - Number of parole absconders,0,0,0
MANIPUR,2006,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2007,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2007,Parole released - Number of parole absconders,0,0,0
MANIPUR,2007,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2008,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2008,Parole released - Number of parole absconders,0,0,0
MANIPUR,2008,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2009,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2009,Parole released - Number of parole absconders,0,0,0
MANIPUR,2009,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2010,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2010,Parole released - Number of parole absconders,0,0,0
MANIPUR,2010,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2011,Parole released - Number of persons released on parole,0,1,1
MANIPUR,2011,Parole released - Number of parole absconders,0,0,0
MANIPUR,2011,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2012,Parole released - Number of persons released on parole,1,0,1
MANIPUR,2012,Parole released - Number of parole absconders,1,0,1
MANIPUR,2012,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2001,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2001,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2001,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2002,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2002,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2002,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2003,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2003,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2003,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2004,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2004,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2004,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2005,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2005,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2005,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2006,Parole released - Number of persons released on parole,0,0,0
