TimePeriod,Area_Name,Indicator_Name,Data_Value
2003, Nagaland,Number of times inmates taken to courts,212
2003, Manipur,Number of times inmates taken to courts,407
2003, Mizoram,Number of times inmates taken to courts,292
2003, Tripura,Number of times inmates taken to courts,12708
2003, Meghalaya,Number of times inmates taken to courts,2436
2003, Assam,Number of times inmates taken to courts,40680
2003, West Bengal,Number of times inmates taken to courts,110025
2003, Jharkhand,Number of times inmates taken to courts,222887
2003, Odisha,Number of times inmates taken to courts,38307
2003, Chhattisgarh,Number of times inmates taken to courts,81375
2003, Madhya Pradesh,Number of times inmates taken to courts,223785
2003, Gujarat,Number of times inmates taken to courts,157019
2003,Daman & Diu,Number of times inmates taken to courts,240
2003,Dadra & Nagar Haveli,Number of times inmates taken to courts,0
2003, Maharashtra,Number of times inmates taken to courts,260182
2003, Andhra Pradesh,Number of times inmates taken to courts,133217
2003, Karnataka,Number of times inmates taken to courts,154131
2003, Goa,Number of times inmates taken to courts,6645
2003,Lakshadweep,Number of times inmates taken to courts,2
2003, Kerala,Number of times inmates taken to courts,20861
2003, Tamil Nadu,Number of times inmates taken to courts,267971
2003,Puducherry,Number of times inmates taken to courts,5862
2003,Andaman & Nicobar Islands,Number of times inmates taken to courts,879
2004, Jammu & Kashmir,Number of times inmates taken to courts,24979
2004, Himachal Pradesh,Number of times inmates taken to courts,14831
2004, Punjab,Number of times inmates taken to courts,1265
2004,Chandigarh,Number of times inmates taken to courts,12480
2004, Uttarakhand,Number of times inmates taken to courts,20124
2004, Haryana,Number of times inmates taken to courts,82228
2004,Delhi,Number of times inmates taken to courts,308256
2004, Rajasthan,Number of times inmates taken to courts,143515
2004, Uttar Pradesh,Number of times inmates taken to courts,181989
2004, Bihar,Number of times inmates taken to courts,442598
2004, Sikkim,Number of times inmates taken to courts,2074
2004, Nagaland,Number of times inmates taken to courts,207
2004, Manipur,Number of times inmates taken to courts,9998
2004, Mizoram,Number of times inmates taken to courts,243
2004, Tripura,Number of times inmates taken to courts,15194
2004, Meghalaya,Number of times inmates taken to courts,0
2004, Assam,Number of times inmates taken to courts,89131
2004, West Bengal,Number of times inmates taken to courts,131663
2004, Jharkhand,Number of times inmates taken to courts,251952
2004, Odisha,Number of times inmates taken to courts,30251
2004, Chhattisgarh,Number of times inmates taken to courts,94804
2004, Madhya Pradesh,Number of times inmates taken to courts,340317
2004, Gujarat,Number of times inmates taken to courts,245073
2004,Daman & Diu,Number of times inmates taken to courts,220
2004,Dadra & Nagar Haveli,Number of times inmates taken to courts,0
2004, Maharashtra,Number of times inmates taken to courts,320395
2004, Andhra Pradesh,Number of times inmates taken to courts,163528
2004, Karnataka,Number of times inmates taken to courts,149032
2004, Goa,Number of times inmates taken to courts,10781
2004,Lakshadweep,Number of times inmates taken to courts,0
2004, Kerala,Number of times inmates taken to courts,21613
2004, Tamil Nadu,Number of times inmates taken to courts,271971
2004,Puducherry,Number of times inmates taken to courts,6742
2004,Andaman & Nicobar Islands,Number of times inmates taken to courts,918
2005, Jammu & Kashmir,Number of times inmates taken to courts,32098
2005, Himachal Pradesh,Number of times inmates taken to courts,14831
2005, Punjab,Number of times inmates taken to courts,1208
2005,Chandigarh,Number of times inmates taken to courts,11560
2005, Uttarakhand,Number of times inmates taken to courts,4796
2005, Haryana,Number of times inmates taken to courts,35250
2005,Delhi,Number of times inmates taken to courts,295872
2005, Rajasthan,Number of times inmates taken to courts,113341
2005, Uttar Pradesh,Number of times inmates taken to courts,383330
