state_name,is_state,year,gender,domicile,convicts,under_trial,detenues,others
Chandigarh,0,2007,Male,Belongs to other Country,1,6,0,0
Chandigarh,0,2007,Male,Belongs to other State,65,176,0,0
Chandigarh,0,2007,Male,Belongs to State,75,160,0,0
Chandigarh,0,2008,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2008,Female,Belongs to other State,3,5,0,0
Chandigarh,0,2008,Female,Belongs to State,2,7,0,0
Chandigarh,0,2008,Male,Belongs to other Country,2,6,0,0
Chandigarh,0,2008,Male,Belongs to other State,120,199,0,0
Chandigarh,0,2008,Male,Belongs to State,61,121,0,0
Chandigarh,0,2009,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2009,Female,Belongs to other State,7,11,0,0
Chandigarh,0,2009,Female,Belongs to State,2,9,0,0
Chandigarh,0,2009,Male,Belongs to other Country,4,5,0,0
Chandigarh,0,2009,Male,Belongs to other State,180,209,0,0
Chandigarh,0,2009,Male,Belongs to State,51,165,0,0
Chandigarh,0,2010,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2010,Female,Belongs to other State,7,12,0,0
Chandigarh,0,2010,Female,Belongs to State,3,7,0,0
Chandigarh,0,2010,Male,Belongs to other Country,5,9,0,0
Chandigarh,0,2010,Male,Belongs to other State,161,235,0,0
Chandigarh,0,2010,Male,Belongs to State,45,156,0,0
Chandigarh,0,2011,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2011,Female,Belongs to other State,4,10,0,0
Chandigarh,0,2011,Female,Belongs to State,2,6,0,0
Chandigarh,0,2011,Male,Belongs to other Country,7,2,0,0
Chandigarh,0,2011,Male,Belongs to other State,165,208,0,0
Chandigarh,0,2011,Male,Belongs to State,64,158,0,0
Chandigarh,0,2012,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2012,Female,Belongs to other State,7,10,0,0
Chandigarh,0,2012,Female,Belongs to State,8,16,0,0
Chandigarh,0,2012,Male,Belongs to other Country,9,4,0,0
Chandigarh,0,2012,Male,Belongs to other State,121,176,0,0
Chandigarh,0,2012,Male,Belongs to State,116,267,0,0
Chandigarh,0,2013,Female,Belongs to State,4,8,0,0
Chandigarh,0,2013,Female,Belongs to other State,8,4,0,0
Chandigarh,0,2013,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2013,Male,Belongs to State,121,179,0,0
Chandigarh,0,2013,Male,Belongs to other State,129,196,0,0
Chandigarh,0,2013,Male,Belongs to other Country,8,4,0,0
Chhatisgarh,1,2013,Female,Belongs to State,294,485,0,0
Chhatisgarh,1,2013,Female,Belongs to other State,11,31,0,0
Chhatisgarh,1,2013,Female,Belongs to other Country,0,0,0,0
Chhatisgarh,1,2013,Male,Belongs to State,5997,8000,1,12
Chhatisgarh,1,2013,Male,Belongs to other State,284,724,0,0
Chhatisgarh,1,2013,Male,Belongs to other Country,0,1,0,0
Chhattisgarh,1,2001,Female,Belongs to other Country,0,0,0,0
Chhattisgarh,1,2001,Female,Belongs to other State,4,5,0,0
Chhattisgarh,1,2001,Female,Belongs to State,181,199,0,1
Chhattisgarh,1,2001,Male,Belongs to other Country,0,0,0,0
Chhattisgarh,1,2001,Male,Belongs to other State,225,376,0,0
Chhattisgarh,1,2001,Male,Belongs to State,4323,4341,4,8
Chhattisgarh,1,2002,Female,Belongs to other Country,0,0,0,0
Chhattisgarh,1,2002,Female,Belongs to other State,9,10,0,0
Chhattisgarh,1,2002,Female,Belongs to State,193,215,0,0
Chhattisgarh,1,2002,Male,Belongs to other Country,0,0,0,0
Chhattisgarh,1,2002,Male,Belongs to other State,187,197,0,0
Chhattisgarh,1,2002,Male,Belongs to State,4647,4539,1,8
Chhattisgarh,1,2003,Female,Belongs to other Country,0,0,0,0
Chhattisgarh,1,2003,Female,Belongs to other State,3,5,0,0
Chhattisgarh,1,2003,Female,Belongs to State,196,155,0,0
